Video ID,Title,Comment
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),"Will you be watching the Academy Awards?


POOL RULES:
One: Speak up and join the conversation- we encourage respectful debate.
Two: Respect your community- racism, misogyny, homophobia and hate speech aren’t tolerated.
Three: “Be nice.” – Dalton from Roadhouse"
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),"I love Joe’s point about Spike’s idea behind the ending, ambiguity can be dangerous. Yes, I am watching this super late!"
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),"Bo Rap is a masterpiece, maybe you have to be British to get it."
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),It just stroke me that both WW and Logan had kinda crappy third acts too
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),11:30 You guys nailed the argument against the nonsensical backlash that comic book nerds and rabid infinity war fans have come up with- Black Panther is far far more deserving of the nomination
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),What kind of bear is best? Wrong. Black Bears.
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),"""8 movies at the same time man.."" *is he referencing Office Space joke?*"
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),"I have watched 25th hour, Malcolm X, and do the right thing"
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),"DAN IS THE BEST,  the other two just make jokes."
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),Joe is so funny
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),Christian Bale AS Richard Dreyfuss playing Dick Cheny...
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),I might not have loved black panther but if it does win I won’t be mad because that might give other great comic book movies chances to even be nominated for best picture.
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),"Hey, if that R. Kelly song is good, I'm gonna listen to it. I'll be damned if I let the fact that someone is a terrible person prevent me from enjoying their art."
LMDA-zEEQUM,Honest Trailers Commentary - The Oscars (2019),Paddington 2 was the biggest snub don't @ me
